frameID,groupID,x,y,w,h
18274,59,194.49,169.79,304.9,142.27
18275,60,253.08,161.25,243.15,161.78
18276,60,275.74,166.8,160.8,160.11
18277,60,260.33,169.91,321.77,158.11
18277,61,121.14,193.8,100.41,62.16
18278,60,105.94,164.43,334.2,162.61
18278,62,554.52,212.07,88.48,86.65
18279,60,223.94,163.92,151.66,161.71
18280,63,71.0,161.62,151.5,142.48
18280,60,228.03,163.95,414.77,161.96
18281,64,17.86,159.76,192.1,146.39
18281,65,225.84,152.88,380.24,165.32
18282,66,140.78,160.05,71.91,144.52
18283,36,230.91,167.64,220.19,146.81
18283,67,138.18,177.17,86.63,80.66
18284,36,104.45,176.32,196.09,129.89
18284,68,320.2,169.94,133.94,149.82
18285,69,197.96,168.88,195.99,153.6
18286,70,181.76,180.95,105.9,131.53
18287,71,51.16,166.17,426.08,162.05
18288,71,47.76,166.39,321.04,163.96
18288,59,470.82,212.25,17.76,17.34
18289,71,55.56,164.78,327.26,167.04
18290,72,57.48,178.95,266.49,133.22
18291,60,178.48,166.08,220.21,171.25
18291,72,52.15,182.17,76.44,41.09
18292,73,51.51,180.33,276.52,132.94
18292,60,171.65,167.21,216.03,167.66
18293,74,51.83,166.51,327.65,169.49
18294,75,132.6,168.5,273.19,164.59
18295,75,124.87,179.29,71.52,72.93
18295,76,16.59,168.49,387.35,163.72
18296,75,12.92,166.13,352.86,165.78
18297,77,67.38,165.02,287.54,169.72
18299,78,36.27,169.92,371.1,172.0
18300,78,157.38,163.6,244.11,178.41
18300,79,16.37,179.8,80.88,72.48
18301,78,5.38,162.73,392.55,177.69
18302,78,124.19,161.59,159.57,176.69
18303,78,115.38,159.21,167.19,180.21
18303,80,1.0,182.84,413.61,120.37
18304,60,127.65,154.04,75.32,190.32
18304,81,16.68,158.01,397.48,181.78
18305,82,139.86,153.45,329.07,193.32
18305,78,5.75,176.38,55.82,65.09
18306,83,24.23,153.21,274.78,194.99
18306,84,319.66,192.72,219.5,125.96
18307,82,139.14,155.45,162.82,200.1
18308,82,1.0,143.32,289.25,215.92
18308,85,368.1,191.49,177.27,134.95
18309,86,1.0,116.23,285.9,246.74
18309,87,406.56,186.57,240.8,147.55
18312,88,397.36,182.37,240.99,157.83
18312,89,1.0,49.26,261.9,302.29
18313,89,1.0,22.61,267.63,328.88
18313,88,397.21,179.41,240.06,180.11
18314,90,1.0,4.86,372.23,343.94
18317,91,118.85,167.93,74.8,88.93
18318,91,116.08,180.82,59.62,75.9
18318,92,285.49,189.97,100.18,71.69
18319,93,316.93,187.24,73.51,74.03
